"g","mY","gY","mU","gU","mW","gW","e0","eP","eM","mUs"
4.374262,0.125,240.4963,104.3550875,0.08475673,38.55807,0.04315675,0.0347173,3.92317875,446.67445,NA
4.439187,0.125,316.5751,34.6034,0.06448492,26.63861,0.04585885,0.08009755,2.52508875,319.0758,NA
4.20302,0.125,44.5206,9.1463375,0.05853416,24.25154,0.038968,0.02377785,13.3902,2.05505,NA
0.502344,0.125,253.1273,34.86275,0.08797378,82.73957,0.0377635,0.027542,9.30354,93.88545,NA
5.811915,0.125,447.2133,19.5748,0.06852534,73.84067,0.041248,0.01174935,5.42341125,283.1947,NA
3.199536,0.125,356.9257,5.242175,0.05798523,70.70673,0.09399695,0.09751705,29.40470625,482.9976,NA
0.924562,0.125,982.1279,67.71995,0.06403935,56.75868,0.0215646,0.0101163,18.51168,181.96465,NA
2.531954,0.125,130.5546,55.6405875,0.07759177,96.8361,0.05991965,0.0493312,23.91616125,136.4136,NA
0.333814,0.125,788.0254,24.9816625,0.08742756,70.95543,0.02825665,0.07897025,33.38528625,329.51345,NA
7.139948,0.125,577.8157,53.1071625,0.00057135,37.36001,0.0893851,0.06316115,7.52194875,209.5313,NA
5.663944,0.125,243.0415,90.3403875,0.0234109,86.53185,0.0221448,0.02509665,15.94825875,292.1487,NA
0.126489,0.125,630.2047,104.8545,0.08060145,35.39489,0.0160718,0.0993884,12.429075,196.0187,NA
6.814784,0.125,898.0867,111.752275,0.00899461,66.88286,0.05912405,0.04600645,1.6740825,238.43805,NA
7.131739,0.125,337.5527,11.7688875,0.04739663,56.04681,0.0682055,0.0230094,33.84166125,433.184,NA
9.736591,0.125,708.0543,22.4482,0.02812814,68.62534,0.06795265,0.0058608,23.59035,412.0414,NA
3.098781,0.125,461.9717,115.322275,0.09122547,70.43955,0.08840335,0.03175715,14.2336575,127.8691,NA
5.715657,0.125,640.3921,26.123125,0.07733903,15.70768,0.0461511,0.07627765,32.73836625,484.67725,NA
0.062508,0.125,710.7849,96.608475,0.03532782,57.91278,0.05533,0.08662505,0.95145,397.875,NA
3.759732,0.125,577.4332,92.3736875,0.02374509,66.57312,0.0212703,0.00962875,11.550225,321.00555,NA
9.207923,0.125,629.3464,3.7453,0.03559966,89.17623,0.0396337,0.06440355,30.28381125,378.2148,NA
3.250526,0.125,617.5827,98.0250375,0.08033664,75.06272,0.0629033,0.0650924,19.182285,409.7009,NA
8.514362,0.125,139.9739,99.4551,0.03371781,56.4644,0.07647985,0.00489435,36.20981625,481.0114,NA
8.203469,0.125,463.4682,30.2735125,0.0779367,56.95735,0.07451955,0.02009555,13.48105875,233.8335,NA
5.56174,0.125,280.9068,106.4765,0.00947487,23.04777,0.08030445,0.07048315,7.88084625,252.6994,NA
8.984655,0.125,289.2868,5.0697125,0.04006831,95.85524,0.09862445,0.0430645,0.5589675,128.22615,NA
