"g","mY","gY","mU","gU","mW","gW","e0","eP","eM","mUs"
0.51489,0.125,91.629,10.30375,0.0009898,4.3669,3.85e-05,0.007034,0.576375,33.0345,NA
0.05513,0.125,6.616,2.93775,0.0050897,6.4511,8.15e-05,0.0056,0.5776125,8.3825,NA
0.59561,0.125,99.48,10.659625,0.0045835,5.591,0.002793,0.0097835,0.245325,33.302,NA
0.5669,0.125,94.101,4.4445,0.0038543,1.5357,0.007857,0.003561,3.1291125,8.212,NA
0.21758,0.125,44.976,9.884375,0.0048321,3.9295,0.006052,0.004324,3.6384,44.068,NA
0.98274,0.125,76.671,9.663625,0.0001314,1.0446,0.0002765,0.0026955,2.817975,49.218,NA
0.38668,0.125,98.162,11.007625,0.0007118,1.4713,0.0093835,0.000787,0.70305,24.7065,NA
0.40393,0.125,6.761,3.418375,0.003663,4.3967,0.000624,0.004051,0.3399,1.058,NA
0.18234,0.125,66.625,11.15825,0.0058962,8.3032,6.9e-05,0.007212,1.0432875,15.376,NA
0.53688,0.125,52.5,3.71425,0.006873,1.8606,0.007737,0.00403,3.7212,48.756,NA
