g,mY,gY,mU,gU,mW,gW,e0,eP,eM,mUs
0.003801894,0.125,0.218776162,0.010397047,0.000104713,0.003981072,2.24E-06,1.20E-07,0.000277991,0.5,NA
0.000776247,0.125,0.000190546,0.001647821,0.016595869,0.00042658,0.000562341,2.29E-06,0.005675855,0.003881236,NA
0.067608298,0.125,40.73802778,2.327608921,2.14E-05,2.290867653,1.23E-07,0.03801894,0.013615427,75.67806242,NA
8.7096359,0.125,0.000457088,2.43730575,1.95E-07,0.114815362,1.70E-05,0.042657952,0.013932571,0.004774963,NA
0.00128825,0.125,0.019952623,0.006122235,5.25E-05,0.004570882,0.089125094,0.032359366,0.000236609,0.015451477,NA
0.000489779,0.125,0.416869383,0.004538476,8.32E-05,0.676082975,0.001548817,2.29E-05,19.68027976,6.441247758,NA
1.621810097,0.125,0.007762471,0.002074484,0.03801894,0.001513561,0.050118723,1.55E-06,11.58860787,0.016179683,NA
0.004168694,0.125,1.862087137,0.006122235,2.34E-05,1.445439771,2.57E-05,0.02630268,0.00133055,0.023386757,NA
0.186208714,0.125,0.001071519,0.82586681,3.47E-05,0.02630268,3.39E-07,0.000223872,0.002594366,26.24037301,NA
0.114815362,0.125,0.008912509,49.76339632,1.29E-05,0.000147911,3.89E-05,0.002754229,0.005808062,0.05482391,NA
2.187761624,0.125,2.398832919,14.68621944,0.004168694,0.002754229,0.000263027,5.62E-05,0.430557608,203.6901389,NA
2.691534804,0.125,0.19498446,0.000306839,1.26E-06,1.230268771,1.29E-07,0.000245471,1.563260188,14.42015752,NA
1.78E-05,0.125,3.715352291,17.65671931,2.75E-05,0.00042658,0.019498446,1.95E-06,0.00083952,6.591283693,NA
0.004073803,0.125,0.000398107,0.003605039,0.000363078,0.006025596,3.72E-06,0.000758578,6.82E-05,47.7496293,NA
1.288249552,0.125,89.12509381,0.23818259,0.014791084,23.44228815,0.056234133,0.030199517,0.291092669,58.74487775,NA
0.776247117,0.125,7.244359601,42.35551952,2.88E-06,0.014125375,1.70E-06,0.000223872,4.720970294,0.003881236,NA
0.003548134,0.125,0.005888437,0.035229787,0.070794578,0.251188643,0.037153523,0.002570396,0.09863505,0.00181539,NA
0.010715193,0.125,20.41737945,0.00057136,0.000134896,0.309029543,2.14E-05,0.063095734,0.00026548,0.011193606,NA
1.318256739,0.125,0.011220185,0.000299854,0.015848932,0.017378008,3.39E-07,8.71E-05,0.006982827,0.004886186,NA
0.003090295,0.125,0.537031796,0.004235552,1.74E-05,0.00074131,2.51E-06,0.016218101,12.41741706,0.001227354,NA
0.10964782,0.125,0.000323594,0.005456448,6.76E-06,0.051286138,0.021877616,1.91E-06,20.60778277,218.2579161,NA
1.41E-05,0.125,0.338844156,0.00497634,3.89E-05,0.00144544,3.24E-07,0.015848932,0.666854779,11.72114408,NA
7.244359601,0.125,0.063095734,0.00905545,2.14E-07,0.019054607,0.000107152,0.075857758,0.000167506,177.4066946,NA
0.021379621,0.125,14.12537545,0.671289745,3.24E-06,1.995262315,1.35E-07,2.24E-07,5.81E-05,0.000523564,NA
0.016218101,0.125,2.290867653,116.6567876,5.50E-05,1.513561248,0.001,0.002630268,1.675063471,47.7496293,NA
0.003019952,0.125,15.84893192,12.21546526,0.060255959,0.000177828,1.32E-07,3.09E-06,0.068238782,0.035397289,NA
0.033884416,0.125,67.60829754,54.56447903,0.025703958,0.003162278,0.050118723,1.66E-06,1.361542705,0.000774408,NA
0.001479108,0.125,2.290867653,0.150283054,1.51E-06,45.70881896,2.82E-07,0.011748976,21.08779969,0.587448777,NA
0.104712855,0.125,0.000120226,48.63064312,0.00851138,30.1995172,0.004677351,0.023988329,0.000304811,10.44648065,NA
0.030902954,0.125,0.001862087,0.073605457,0.000138038,81.28305162,6.31E-07,2.14E-06,12.70665586,0.002505936,NA
2.82E-05,0.125,17.37800829,0.533224399,0.018197009,5.495408739,9.33E-05,0.00042658,0.006081788,488.6186105,NA
2.04E-05,0.125,0.00144544,0.003862869,0.000114815,0.002238721,1.29E-07,7.59E-07,0.145891929,0.397164117,NA
7.41E-05,0.125,0.001949845,0.736054569,0.000489779,14.45439771,0.097723722,9.12E-05,0.065167531,0.002448894,NA
0.000194984,0.125,0.048977882,8.451037192,6.31E-07,0.030199517,0.00020893,4.90E-06,0.698282676,106.8981045,NA
0.069183097,0.125,0.758577575,5.846689266,0.000676083,0.016218101,0.00018197,4.68E-06,0.349970363,466.6271504,NA
0.331131121,0.125,0.004073803,37.74939651,1.41E-07,0.003801894,0.001047129,4.17E-07,0.017948628,0.218257916,NA
0.0616595,0.125,21.87761624,0.000475237,3.72E-07,0.03801894,0.001071519,0.003388442,0.000253531,86.89004144,NA
0.45708819,0.125,0.003162278,11.93740733,4.27E-06,97.7237221,7.59E-07,0.004677351,5.94E-05,0.477496293,NA
1.38E-05,0.125,0.003311311,0.000352298,0.000288403,0.002754229,0.000281838,0.00018197,0.000259437,0.000829793,NA
1.288249552,0.125,0.281838293,0.003139858,0.077624712,0.095499259,0.031622777,1.35E-07,0.010328358,0.00239315,NA
2.398832919,0.125,0.00691831,0.002552172,2.63E-05,0.000213796,0.002951209,9.12E-07,0.096389842,0.00810905,NA
0.085113804,0.125,0.190546072,0.001936021,1.66E-07,0.000131826,0.001230269,2.51E-06,0.225959845,0.388123558,NA
4.073802778,0.125,0.309029543,43.34210631,0.000120226,0.602559586,1.74E-05,0.046773514,0.001270666,0.010938808,NA
0.022387211,0.125,4.265795188,0.736054569,1.48E-05,0.426579519,3.31E-05,3.55E-07,0.171408071,0.009310436,NA
0.014125375,0.125,0.741310241,1.806799713,0.042657952,0.123026877,0.001230269,0.097723722,19.2323019,0.125594322,NA
0.010471285,0.125,0.001230269,21.72251036,9.77E-05,20.41737945,0.010964782,0.01023293,4.50849163,0.006151344,NA
2.45E-05,0.125,0.000776247,86.47887136,2.34E-07,0.015848932,0.00020893,0.041686938,0.941957412,48.86186105,NA
