"g","mY","gY","mA","kD","mB","mU","e0","eP","bA","bI","mAs"
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
0.01,0.125,0.1,0.372,1,0.125,0.1,1e-04,0.05,0.5,0.5,NA
