g,mY,gY,mU,gU,mW,gW,e0,eP,eM,mUs
0.048977882,0.125,0.05370318,0.404492071,0.001172114,31.95565713,7.94E-05,1.17E-05,0.450849163,0.057407681,NA
0.00030903,0.125,0.043651583,0.533224399,0.425569019,0.071539805,2.63E-05,0.000288403,0.001675063,1.815390274,NA
0.000114815,0.125,1.548816619,0.243730575,0.090985043,0.073206181,1.48E-05,0.000199526,0.013002632,0.574076811,NA
0.407380278,0.125,0.008912509,0.001339399,0.016942208,1.034064795,1.62E-06,0.004168694,1.300263189,0.5,NA
0.007762471,0.125,2.290867653,0.164782092,0.010938808,4.212576034,0.000162181,0.002398833,0.139325711,0.997631157,NA
0.028840315,0.125,0.501187234,0.267245261,0.792446596,5.553256744,3.09E-06,5.25E-05,0.00083952,0.006151344,NA
0.602559586,0.125,0.024547089,0.008070678,0.023931505,0.006676483,0.008128305,6.46E-05,0.11324819,0.173368425,NA
0.000954993,0.125,2.290867653,0.001308911,0.274770437,1.010526606,0.000776247,4.07E-06,1.132481895,7.744083095,NA
0.037153523,0.125,1.621810097,0.413913902,2.132897594,0.025974533,3.24E-06,9.33E-05,0.002060778,0.997631157,NA
0.602559586,0.125,1.584893192,0.009703089,0.028771997,0.004513857,1.74E-05,0.000147911,0.001158861,17.33684252,NA
0.1,0.125,3.235936569,12.21546526,2.084346917,0.005553257,1.95E-06,3.63E-05,0.326611346,30.1279793,NA
0.512861384,0.125,0.012302688,0.002381826,0.001145434,0.006089025,3.72E-06,0.000125893,1.563260188,0.067448144,NA
0.537031796,0.125,0.004897788,0.001339399,0.000829793,0.006230857,2.09E-06,2.75E-06,0.005176441,5.610092272,NA
0.001047129,0.125,0.467735141,0.368901153,0.9749223,31.95565713,3.80E-05,4.27E-06,0.149290189,0.024488941,NA
0.003801894,0.125,3.801893963,0.122154653,2.393150462,0.542684919,3.16E-06,1.07E-06,0.038373487,0.13457674,NA
0.002951209,0.125,0.028840315,2.611620164,0.001255943,2.719867532,0.00691831,1.35E-05,0.007145478,2.182579161,NA
0.00074131,0.125,1.148153621,0.202726262,0.294421828,0.12149202,3.72E-06,1.02E-05,0.00192323,3.881235583,NA
0.323593657,0.125,0.03801894,0.015028305,0.010446481,0.027832214,4.68E-05,0.001584893,0.034200406,0.561009227,NA
0.034673685,0.125,2.884031503,0.005583545,0.01068981,0.025974533,9.55E-06,1.17E-06,0.066685478,0.012851979,NA
0.123026877,0.125,0.660693448,0.004752367,0.001945226,0.101052661,0.000724436,4.79E-05,1.361542705,0.330346724,NA
0.000562341,0.125,10,0.004044921,1.617968285,0.006524508,1.95E-05,1.12E-06,0.065167531,0.158113883,NA
0.000151356,0.125,0.009549926,0.007886967,1.285197891,0.784418365,1.86E-05,4.79E-06,2.779913405,0.007062688,NA
0.031622777,0.125,0.032359366,1.981116491,0.00072272,0.175609397,0.000204174,0.000162181,0.10568936,1.815390274,NA
0.338844156,0.125,0.114815362,0.16862036,3.881235583,0.003346168,0.000562341,1.10E-06,3.75,0.038812356,NA
0.165958691,0.125,0.630957344,0.486306431,0.000739554,3.27,0.000645654,2.34E-05,1.425710236,4.77496293,NA
0.000630957,0.125,9.54992586,0.03287835,1.774066946,0.231498271,0.001348963,6.61E-05,0.731191725,23.93150462,NA
0.000165959,0.125,2.454708916,0.90554495,2.182579161,29.14390568,0.000245471,6.31E-05,0.472097029,11.19360569,NA
0.003981072,0.125,0.141253754,1.088704487,0.810905049,0.008026898,0.001659587,6.31E-05,0.074822337,0.052356427,NA
0.003162278,0.125,0.154881662,5.982876154,0.000974922,0.078441836,0.002187762,0.000398107,0.020607783,0.117211441,NA
0.002951209,0.125,0.45708819,0.084510372,0.345915485,0.004022979,0.000363078,8.51E-06,0.002716635,0.931043568,NA
0.000169824,0.125,0.034673685,0.086478871,0.02685159,0.880131881,0.000323594,0.000380189,0.001132482,0.173368425,NA
0.000660693,0.125,0.006606934,0.0125,0.065912837,2.597453328,0.000870964,1.10E-05,0.001393257,0.016942208,NA
0.000977237,0.125,7.079457844,0.243730575,2.132897594,1.970369846,4.37E-05,3.98E-06,0.130026319,1.068981045,NA
