mY	FbR_Y	FbR_U	FbR_W	FbR_C	FbD_Y	FbD_U	FbD_W	FbD_C	NfR_Y	NfR_U	NfR_W	NfR_C	NfD_Y	NfD_U	NfD_W	NfD_C	CoRa(mY)
1.25e-7	1.2253682345706625e-6	4.0176950008174574e-7	9.900975335330955	2.923214220162854e-7	1.2866365503719804e-6	4.218579742525857e-7	9.900974597148194	3.0693746962663487e-7	1.2253682345706625e-6	4.017695000817457e-7	9.900975335330955	2.9232142201628536e-7	1.2866366462991958e-6	4.017695000817457e-7	9.900975335330955	2.9232142201628536e-7	0.9999984718933769
1.279116240350942e-7	1.2539106838476249e-6	4.1112791356748894e-7	9.900974991441233	2.9913045197788953e-7	1.3166061175918876e-6	4.316843083733463e-7	9.900974236064043	3.1408694997924947e-7	1.2539106838476247e-6	4.11127913567489e-7	9.900974991441233	2.991304519778896e-7	1.316606218040006e-6	4.11127913567489e-7	9.900974991441233	2.991304519778896e-7	0.9999984362992577
1.3089106850636245e-7	1.2831179701227323e-6	4.207043124884873e-7	9.900974639541316	3.0609808411920766e-7	1.3472737634467847e-6	4.417395271992742e-7	9.900973866569188	3.2140296256838934e-7	1.2831179701227323e-6	4.207043124884873e-7	9.900974639541316	3.0609808411920766e-7	1.3472738686288689e-6	4.207043124884873e-7	9.900974639541316	3.0609808411920766e-7	0.9999983998760568
1.3393991315470074e-7	1.3130055793423154e-6	4.3050377437696024e-7	9.900974279444624	3.132280127358991e-7	1.3786557481702767e-6	4.5202896213911245e-7	9.900973488467724	3.288893864020379e-7	1.3130055793423154e-6	4.305037743769602e-7	9.900974279444624	3.132280127358991e-7	1.3786558583094315e-6	4.305037743769602e-7	9.900974279444624	3.132280127358991e-7	0.9999983626044475
1.3705977451789814e-7	1.3435893581621798e-6	4.4053149503600855e-7	9.900973910960232	3.2052401817370865e-7	1.4107687107404443e-6	4.6255806878602536e-7	9.900973101559174	3.3655019084065223e-7	1.3435893581621798e-6	4.4053149503600855e-7	9.900973910960232	3.2052401817370865e-7	1.4107688260702888e-6	4.4053149503600855e-7	9.900973910960232	3.2052401817370865e-7	0.9999983244646696
1.4025230678774538e-7	1.3748855223493816e-6	4.5079279129449074e-7	9.900973533892763	3.2798996883277463e-7	1.4436296777016878e-6	4.7333242981021914e-7	9.9009727056384	3.4438943770168156e-7	1.3748855223493816e-6	4.5079279129449074e-7	9.900973533892763	3.2798996883277463e-7	1.4436297984668508e-6	4.5079279129449074e-7	9.900973533892763	3.2798996883277463e-7	0.9999982854365081
1.4351920268711037e-7	1.4069106653797224e-6	4.6129310382607783e-7	9.900973148042297	3.3562982321862756e-7	1.4772560721920693e-6	4.843577579189479e-7	9.90097230049548	3.5241128341310973e-7	1.4069106653797224e-6	4.6129310382607783e-7	9.900973148042297	3.3562982321862756e-7	1.4772561986487082e-6	4.612931038260779e-7	9.900973148042295	3.3562982321862756e-7	0.9999982454992713
1.4686219436744114e-7	1.4396817672354665e-6	4.720380000339629e-7	9.900972753204249	3.4344763204095326e-7	1.5116657231808942e-6	4.956398988854595e-7	9.900971885915604	3.606199812171508e-7	1.4396817672354665e-6	4.7203800003396293e-7	9.900972753204249	3.4344763204095326e-7	1.51166585559724e-6	4.7203800003396293e-7	9.900972753204249	3.4344763204095326e-7	0.999998204631777
1.5028305432717662e-7	1.4732162034079996e-6	4.830331770027732e-7	9.900972349169274	3.5144754036124675e-7	1.5468768749214758e-6	5.071848346485031e-7	9.900971461678958	3.6901988342527857e-7	1.4732162034079996e-6	4.830331770027732e-7	9.900972349169274	3.5144754036124675e-7	1.5468770135783997e-6	4.83033177002773e-7	9.900972349169274	3.514475403612467e-7	0.9999981628123583
1.5378359635154764e-7	1.507531754110149e-6	4.942844645192324e-7	9.90097193572315	3.5963378979048104e-7	1.582908196624046e-6	5.189986864840233e-7	9.90097102756061	3.776154437257736e-7	1.507531754110149e-6	4.942844645192324e-7	9.90097193572315	3.59633789790481e-7	1.5829083418156567e-6	4.942844645192324e-7	9.90097193572315	3.59633789790481e-7	0.9999981200188455
